park_id,park_name,latitude,longitude,park_type,management_priority,acres,golf_availability,soccer_availability,memorial_availability,gym_availability,shade_area_availability,volleyball_availability,swimming_pool_availability,tennis_availability,playground_availability,baseball_availability,recreation_center_availability,basketball_availability,garden_center_availability,parking_lot_availability,facility_total,visits_2019,origin_breadth_2019,visits_per_acre_2019,visits_2020,origin_breadth_2020,visits_per_acre_2020,visits_2021,origin_breadth_2021,visits_per_acre_2021
park-rinard-creek-greenbelt,Rinard Creek Greenbelt,30.13406,-97.77321,Greenbelt,Corridor,23.724,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,29.971468,117,1.26334,15.331921,74,0.646262,35.737656,103,1.506393
park-roberta-crenshaw-overlook-at-shoal-beach-at-town-lake-metro-park,Roberta Crenshaw Overlook At Shoal Beach At Town Lake Metro Park,30.26299,-97.7451,Metropolitan,Corridor,1.63,None,None,Low,None,None,None,None,None,None,None,None,None,None,None,2,94.543221,190,58.001976,29.262497,79,17.952452,10.69587,45,6.561883
park-ron-rigsby-pocket-park,Ron Rigsby Pocket Park,30.36449,-97.70529,Pocket,Passive Park,0.8357,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,27.513845,96,32.923112,29.364934,92,35.138129,36.017225,94,43.098271
park-rosewood-neighborhood-park,Rosewood Neighborhood Park,30.270831,-97.714487,Neighborhood,Active Park,14.1535,None,None,None,Low,None,None,Low,Low,Low,None,Low,None,None,Medium,9,491.5085,443,34.726993,218.620474,276,15.44639,271.116196,254,19.155417
park-roy-g-guerrero-colorado-river-metro-park,Roy G Guerrero Colorado River Metro Park,30.24452,-97.70415,Metropolitan,Mixed-use Park,363.0,High,None,Low,None,Medium,High,None,None,Medium,Low,None,None,None,High,76,5148.64226,1468,14.183587,2867.959199,944,7.900714,7201.226441,1340,19.838089
park-roy-kizer-golf-course,Roy Kizer Golf Course,30.1783,-97.73467,Golf Course,Special Use Area,238.06,Low,None,Low,None,None,None,None,None,None,None,None,None,None,None,38,2128.419716,747,8.940686,6582.494745,1487,27.65057,934.822791,1761,3.926837
park-sanchez-school-park,Sanchez School Park,30.25696,-97.73457,School,Active Park,1.3,None,None,None,None,None,None,None,None,Low,None,None,None,None,None,2,49.028828,128,37.714483,13.417083,51,10.320833,18.484639,51,14.218953
park-scenic-brook-pocket-park,Scenic Brook Pocket Park,30.23484,-97.87944,Neighborhood,Mixed-use Park,0.892,None,None,None,None,None,None,None,None,None,None,None,Low,None,None,1,15.167662,73,17.004105,10.33467,54,11.585953,9.700305,45,10.874781
park-schieffer-tract,Schieffer Tract,30.30765,-97.67113,Special,Natural Area,4.359,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,103.916382,203,23.8395,93.10613,176,21.359516,87.378195,159,20.045468
park-scofield-farms-neighborhood-park,Scofield Farms Neighborhood Park,30.41749,-97.68025,Neighborhood,Mixed-use Park,20.6445,None,None,None,None,Low,Low,None,None,None,None,None,None,None,None,2,107.957375,231,5.229353,65.771962,165,3.185931,71.833046,157,3.479525
park-seider-springs-greenbelt,Seider Springs Greenbelt,30.305476,-97.747971,Greenbelt,Corridor,4.22,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,174.34528,259,41.314047,142.782337,221,33.834677,275.602199,269,65.308578
park-sendera-mesa-neighborhood-park,Sendera Mesa Neighborhood Park,30.2025,-97.86009,Neighborhood,Natural Area,4.62,None,None,None,None,None,None,None,None,Low,None,None,None,None,Low,3,111.131749,207,24.054491,100.772883,202,21.812312,60.764527,145,13.152495
park-shinoak-valley-greenbelt,Shinoak Valley Greenbelt,30.34715,-97.76514,Greenbelt,Natural Area,10.4617,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,6387.46283,1365,610.556872,950.902226,1989,90.893662,9110.459443,1729,870.839294
park-shipe-neighborhood-park,Shipe Neighborhood Park,30.30754,-97.72726,Neighborhood,Active Park,2.616,None,None,Low,None,None,None,Low,Low,Low,None,None,Low,None,None,7,4475.657949,1089,1710.878421,3787.937975,1160,1447.988523,5881.248844,1263,2248.183809
park-shoal-beach-at-town-lake-metro-park,Shoal Beach At Town Lake Metro Park,30.265029,-97.751838,Metropolitan,Corridor,13.48084,None,None,High,None,None,None,None,None,None,None,None,None,None,Low,12,1585.100753,836,117.58175,667.810892,460,49.53778,1603.498615,628,118.946491
park-silk-oak-neighborhood-park,Silk Oak Neighborhood Park,30.18559,-97.84001,Neighborhood,Mixed-use Park,17.544,None,None,None,None,None,Low,None,None,Low,None,None,None,None,None,3,74.865806,180,4.267317,61.053975,153,3.480049,98.930163,177,5.638974
park-sir-swante-palm-neighborhood-park,Sir Swante Palm Neighborhood Park,30.26292,-97.73744,Neighborhood,Active Park,3.017,None,None,None,None,None,None,Low,None,Low,None,None,None,None,None,2,531.770677,485,176.258096,117.819536,172,39.051885,57.713571,121,19.129457
park-south-austin-neighborhood-park,South Austin Neighborhood Park,30.24143,-97.76895,Neighborhood,Active Park,12.27,None,None,Low,None,None,None,None,Low,Low,None,Low,None,None,Low,5,1054.022112,674,85.902373,871.714969,453,71.044415,137.45224,170,11.202302
park-south-austin-senior-activity-center,South Austin Senior Activity Center,30.23302,-97.78462,Special,Special Use Area,4.63,None,None,None,None,None,None,None,None,None,None,None,None,None,Medium,3,170.982294,272,36.929221,96.875191,148,20.923367,30.850592,78,6.663195
park-south-boggy-creek-greenbelt,South Boggy Creek Greenbelt,30.18025,-97.78001,Greenbelt,Natural Area,41.4173,None,None,Low,None,None,None,None,None,None,None,None,None,None,Low,2,42.956432,131,1.037162,20.583921,68,0.496988,27.211297,71,0.657003
park-south-park-meadows-greenbelt,South Park Meadows Greenbelt,30.156258,-97.798211,Greenbelt,Natural Area,80.55,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,308.941138,383,3.835396,274.541189,357,3.408333,330.92752,361,4.108349
park-sparky-pocket-park,Sparky Pocket Park,30.2991,-97.73215,Pocket,Special Use Area,0.3979,None,None,None,None,None,None,None,None,None,None,None,None,None,Low,1,37.574919,117,94.433071,14.415815,67,36.229744,13.650301,58,34.305858
park-springdale-neighborhood-park,Springdale Neighborhood Park,30.27733,-97.68331,Neighborhood,Mixed-use Park,15.5016,None,None,Low,None,None,None,None,None,Low,None,None,None,None,Low,3,37.098173,109,2.393183,36.499229,94,2.354546,2531.247797,705,163.289454
park-springfield-neighborhood-park,Springfield Neighborhood Park,30.17033,-97.73592,Greenbelt,Mixed-use Park,105.78,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,252.375945,333,2.385857,212.704627,304,2.010821,219.111367,294,2.071387
park-st-edwards-greenbelt,St Edwards Greenbelt,30.40594,-97.79122,Greenbelt,Natural Area,79.8,None,None,None,None,None,None,None,None,None,None,None,None,None,Medium,3,102.19614,218,1.280653,320.282108,356,4.01356,138.921352,204,1.740869
park-st-elmo-school-park,St Elmo School Park,30.22244,-97.772888,School,Active Park,6.17,None,None,None,None,None,None,None,None,Low,Low,None,Low,None,Low,4,259.437916,341,42.048285,126.788523,190,20.549193,84.929603,152,13.764928
park-st-johns-pocket-park,St JohnS Pocket Park,30.3328,-97.70046,Pocket,Special Use Area,3.533607,None,None,None,None,Low,None,None,None,Low,None,None,None,None,None,3,164.183585,256,46.463454,426.274969,388,120.634516,1003.211306,443,283.905739
park-steck-valley-greenbelt,Steck Valley Greenbelt,30.38225,-97.75881,Greenbelt,Natural Area,37.9972,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,362.897531,403,9.550639,272.66082,321,7.175813,208.778779,252,5.494583
park-stillhouse-hollow-nature-preserve,Stillhouse Hollow Nature Preserve,30.36949,-97.76247,Nature Preserve,Natural Area,19.8278,None,None,None,None,None,None,None,None,None,None,None,None,None,Low,1,163.537621,278,8.247895,153.44129,241,7.738695,111.542037,187,5.625538
